ERPset,idx,Y,Domain,tmp,Cond4,Position,ROI
39,2,1.66,1.00,2.00,1.00,0.00,2.00
39,6,2.22,1.00,6.00,2.00,1.00,2.00
39,10,3.11,1.00,10.00,3.00,2.00,2.00
39,14,9.15,1.00,14.00,4.00,3.00,2.00
39,18,1.27,2.00,2.00,1.00,0.00,2.00
39,22,-1.48,2.00,6.00,2.00,1.00,2.00
39,26,2.12,2.00,10.00,3.00,2.00,2.00
39,30,13.34,2.00,14.00,4.00,3.00,2.00
39,34,-0.65,3.00,2.00,1.00,0.00,2.00
39,38,2.59,3.00,6.00,2.00,1.00,2.00
39,42,0.14,3.00,10.00,3.00,2.00,2.00
39,46,9.47,3.00,14.00,4.00,3.00,2.00
38,2,0.83,1.00,2.00,1.00,0.00,2.00
38,6,0.10,1.00,6.00,2.00,1.00,2.00
38,10,4.66,1.00,10.00,3.00,2.00,2.00
38,14,8.02,1.00,14.00,4.00,3.00,2.00
38,18,-2.17,2.00,2.00,1.00,0.00,2.00
38,22,-1.61,2.00,6.00,2.00,1.00,2.00
38,26,2.48,2.00,10.00,3.00,2.00,2.00
38,30,5.41,2.00,14.00,4.00,3.00,2.00
38,34,-1.60,3.00,2.00,1.00,0.00,2.00
38,38,-3.62,3.00,6.00,2.00,1.00,2.00
38,42,-0.49,3.00,10.00,3.00,2.00,2.00
38,46,3.53,3.00,14.00,4.00,3.00,2.00
35,2,0.69,1.00,2.00,1.00,0.00,2.00
35,6,0.23,1.00,6.00,2.00,1.00,2.00
35,10,1.34,1.00,10.00,3.00,2.00,2.00
35,14,3.80,1.00,14.00,4.00,3.00,2.00
35,18,0.67,2.00,2.00,1.00,0.00,2.00
35,22,-1.83,2.00,6.00,2.00,1.00,2.00
35,26,-0.88,2.00,10.00,3.00,2.00,2.00
35,30,4.40,2.00,14.00,4.00,3.00,2.00
35,34,3.83,3.00,2.00,1.00,0.00,2.00
35,38,-2.90,3.00,6.00,2.00,1.00,2.00
35,42,-1.96,3.00,10.00,3.00,2.00,2.00
35,46,1.40,3.00,14.00,4.00,3.00,2.00
36,2,3.76,1.00,2.00,1.00,0.00,2.00
36,6,1.61,1.00,6.00,2.00,1.00,2.00
36,10,3.83,1.00,10.00,3.00,2.00,2.00
36,14,9.21,1.00,14.00,4.00,3.00,2.00
36,18,2.04,2.00,2.00,1.00,0.00,2.00
36,22,-0.01,2.00,6.00,2.00,1.00,2.00
36,26,1.63,2.00,10.00,3.00,2.00,2.00
36,30,5.75,2.00,14.00,4.00,3.00,2.00
36,34,-0.45,3.00,2.00,1.00,0.00,2.00
36,38,-0.88,3.00,6.00,2.00,1.00,2.00
36,42,0.36,3.00,10.00,3.00,2.00,2.00
36,46,3.79,3.00,14.00,4.00,3.00,2.00
33,2,1.25,1.00,2.00,1.00,0.00,2.00
33,6,-0.97,1.00,6.00,2.00,1.00,2.00
33,10,4.27,1.00,10.00,3.00,2.00,2.00
33,14,7.67,1.00,14.00,4.00,3.00,2.00
33,18,0.60,2.00,2.00,1.00,0.00,2.00
33,22,0.58,2.00,6.00,2.00,1.00,2.00
33,26,0.32,2.00,10.00,3.00,2.00,2.00
33,30,9.03,2.00,14.00,4.00,3.00,2.00
33,34,1.26,3.00,2.00,1.00,0.00,2.00
33,38,-4.61,3.00,6.00,2.00,1.00,2.00
33,42,-1.37,3.00,10.00,3.00,2.00,2.00
33,46,6.85,3.00,14.00,4.00,3.00,2.00
32,2,1.57,1.00,2.00,1.00,0.00,2.00
32,6,0.16,1.00,6.00,2.00,1.00,2.00
32,10,-1.01,1.00,10.00,3.00,2.00,2.00
32,14,5.64,1.00,14.00,4.00,3.00,2.00
32,18,-0.09,2.00,2.00,1.00,0.00,2.00
32,22,-2.40,2.00,6.00,2.00,1.00,2.00
32,26,0.36,2.00,10.00,3.00,2.00,2.00
32,30,4.64,2.00,14.00,4.00,3.00,2.00
32,34,-1.80,3.00,2.00,1.00,0.00,2.00
32,38,-4.21,3.00,6.00,2.00,1.00,2.00
32,42,-2.32,3.00,10.00,3.00,2.00,2.00
32,46,6.17,3.00,14.00,4.00,3.00,2.00
30,2,1.63,1.00,2.00,1.00,0.00,2.00
30,6,-1.66,1.00,6.00,2.00,1.00,2.00
30,10,-0.90,1.00,10.00,3.00,2.00,2.00
30,14,4.76,1.00,14.00,4.00,3.00,2.00
30,18,-0.06,2.00,2.00,1.00,0.00,2.00
30,22,0.95,2.00,6.00,2.00,1.00,2.00
30,26,0.69,2.00,10.00,3.00,2.00,2.00
30,30,2.32,2.00,14.00,4.00,3.00,2.00
30,34,-1.67,3.00,2.00,1.00,0.00,2.00
30,38,-4.28,3.00,6.00,2.00,1.00,2.00
30,42,-0.93,3.00,10.00,3.00,2.00,2.00
30,46,4.51,3.00,14.00,4.00,3.00,2.00
29,2,0.73,1.00,2.00,1.00,0.00,2.00
29,6,0.26,1.00,6.00,2.00,1.00,2.00
29,10,3.80,1.00,10.00,3.00,2.00,2.00
29,14,8.96,1.00,14.00,4.00,3.00,2.00
29,18,1.21,2.00,2.00,1.00,0.00,2.00
29,22,-0.20,2.00,6.00,2.00,1.00,2.00
29,26,-1.31,2.00,10.00,3.00,2.00,2.00
29,30,3.33,2.00,14.00,4.00,3.00,2.00
29,34,-0.73,3.00,2.00,1.00,0.00,2.00
29,38,-0.20,3.00,6.00,2.00,1.00,2.00
29,42,-2.51,3.00,10.00,3.00,2.00,2.00
29,46,0.16,3.00,14.00,4.00,3.00,2.00
23,2,-1.41,1.00,2.00,1.00,0.00,2.00
23,6,1.42,1.00,6.00,2.00,1.00,2.00
23,10,5.95,1.00,10.00,3.00,2.00,2.00
23,14,7.36,1.00,14.00,4.00,3.00,2.00
23,18,1.97,2.00,2.00,1.00,0.00,2.00
23,22,3.82,2.00,6.00,2.00,1.00,2.00
23,26,3.59,2.00,10.00,3.00,2.00,2.00
23,30,9.63,2.00,14.00,4.00,3.00,2.00
23,34,-3.52,3.00,2.00,1.00,0.00,2.00
23,38,2.82,3.00,6.00,2.00,1.00,2.00
23,42,1.63,3.00,10.00,3.00,2.00,2.00
23,46,7.03,3.00,14.00,4.00,3.00,2.00
26,2,1.74,1.00,2.00,1.00,0.00,2.00
26,6,3.65,1.00,6.00,2.00,1.00,2.00
26,10,4.26,1.00,10.00,3.00,2.00,2.00
26,14,5.88,1.00,14.00,4.00,3.00,2.00
26,18,2.08,2.00,2.00,1.00,0.00,2.00
26,22,-0.04,2.00,6.00,2.00,1.00,2.00
26,26,2.61,2.00,10.00,3.00,2.00,2.00
26,30,8.52,2.00,14.00,4.00,3.00,2.00
26,34,0.24,3.00,2.00,1.00,0.00,2.00
26,38,-2.03,3.00,6.00,2.00,1.00,2.00
26,42,2.08,3.00,10.00,3.00,2.00,2.00
26,46,5.51,3.00,14.00,4.00,3.00,2.00
21,2,-1.81,1.00,2.00,1.00,0.00,2.00
21,6,1.15,1.00,6.00,2.00,1.00,2.00
21,10,3.48,1.00,10.00,3.00,2.00,2.00
21,14,10.21,1.00,14.00,4.00,3.00,2.00
21,18,-0.96,2.00,2.00,1.00,0.00,2.00
21,22,2.12,2.00,6.00,2.00,1.00,2.00
21,26,3.70,2.00,10.00,3.00,2.00,2.00
21,30,12.57,2.00,14.00,4.00,3.00,2.00
21,34,-4.65,3.00,2.00,1.00,0.00,2.00
21,38,-6.03,3.00,6.00,2.00,1.00,2.00
21,42,-4.71,3.00,10.00,3.00,2.00,2.00
21,46,5.28,3.00,14.00,4.00,3.00,2.00
18,2,0.68,1.00,2.00,1.00,0.00,2.00
18,6,-0.75,1.00,6.00,2.00,1.00,2.00
18,10,-0.06,1.00,10.00,3.00,2.00,2.00
18,14,5.17,1.00,14.00,4.00,3.00,2.00
18,18,-0.99,2.00,2.00,1.00,0.00,2.00
18,22,-1.90,2.00,6.00,2.00,1.00,2.00
18,26,-3.27,2.00,10.00,3.00,2.00,2.00
18,30,2.41,2.00,14.00,4.00,3.00,2.00
18,34,-3.36,3.00,2.00,1.00,0.00,2.00
18,38,-5.50,3.00,6.00,2.00,1.00,2.00
18,42,-5.02,3.00,10.00,3.00,2.00,2.00
18,46,-0.84,3.00,14.00,4.00,3.00,2.00
17,2,-1.05,1.00,2.00,1.00,0.00,2.00
17,6,-0.88,1.00,6.00,2.00,1.00,2.00
17,10,4.47,1.00,10.00,3.00,2.00,2.00
17,14,7.37,1.00,14.00,4.00,3.00,2.00
17,18,-1.13,2.00,2.00,1.00,0.00,2.00
17,22,-3.61,2.00,6.00,2.00,1.00,2.00
17,26,-1.78,2.00,10.00,3.00,2.00,2.00
17,30,3.75,2.00,14.00,4.00,3.00,2.00
17,34,-3.00,3.00,2.00,1.00,0.00,2.00
17,38,-4.11,3.00,6.00,2.00,1.00,2.00
17,42,-2.80,3.00,10.00,3.00,2.00,2.00
17,46,3.66,3.00,14.00,4.00,3.00,2.00
15,2,1.36,1.00,2.00,1.00,0.00,2.00
15,6,0.97,1.00,6.00,2.00,1.00,2.00
15,10,-0.42,1.00,10.00,3.00,2.00,2.00
15,14,9.10,1.00,14.00,4.00,3.00,2.00
15,18,-3.02,2.00,2.00,1.00,0.00,2.00
15,22,-0.72,2.00,6.00,2.00,1.00,2.00
15,26,-1.54,2.00,10.00,3.00,2.00,2.00
15,30,3.21,2.00,14.00,4.00,3.00,2.00
15,34,-1.16,3.00,2.00,1.00,0.00,2.00
15,38,-1.95,3.00,6.00,2.00,1.00,2.00
15,42,-3.25,3.00,10.00,3.00,2.00,2.00
15,46,6.66,3.00,14.00,4.00,3.00,2.00
14,2,-6.56,1.00,2.00,1.00,0.00,2.00
14,6,1.11,1.00,6.00,2.00,1.00,2.00
14,10,4.65,1.00,10.00,3.00,2.00,2.00
14,14,4.26,1.00,14.00,4.00,3.00,2.00
14,18,-5.03,2.00,2.00,1.00,0.00,2.00
