sequence_position	block	trial_in_block	target_congruency
1	1	1	incongruent
2	1	2	congruent
3	1	3	incongruent
4	1	4	incongruent
5	1	5	congruent
6	1	6	incongruent
7	1	7	congruent
8	1	8	incongruent
9	1	9	incongruent
10	1	10	congruent
11	1	11	congruent
12	1	12	congruent
13	1	13	incongruent
14	1	14	congruent
15	1	15	incongruent
16	1	16	incongruent
17	1	17	congruent
18	1	18	congruent
19	1	19	incongruent
20	1	20	congruent
21	2	1	incongruent
22	2	2	incongruent
23	2	3	congruent
24	2	4	congruent
25	2	5	incongruent
26	2	6	congruent
27	2	7	congruent
28	2	8	incongruent
29	2	9	congruent
30	2	10	incongruent
31	2	11	incongruent
32	2	12	incongruent
33	2	13	congruent
34	2	14	congruent
35	2	15	incongruent
36	2	16	congruent
37	2	17	incongruent
38	2	18	congruent
39	2	19	congruent
40	2	20	incongruent
41	3	1	incongruent
42	3	2	congruent
43	3	3	congruent
44	3	4	incongruent
45	3	5	congruent
46	3	6	incongruent
47	3	7	congruent
48	3	8	incongruent
49	3	9	incongruent
50	3	10	congruent
51	3	11	congruent
52	3	12	congruent
53	3	13	incongruent
54	3	14	congruent
55	3	15	incongruent
56	3	16	congruent
57	3	17	incongruent
58	3	18	incongruent
59	3	19	congruent
60	3	20	incongruent
61	4	1	congruent
62	4	2	congruent
63	4	3	congruent
64	4	4	incongruent
65	4	5	incongruent
66	4	6	congruent
67	4	7	incongruent
68	4	8	incongruent
69	4	9	congruent
70	4	10	incongruent
71	4	11	incongruent
72	4	12	incongruent
73	4	13	congruent
74	4	14	congruent
75	4	15	incongruent
76	4	16	congruent
77	4	17	congruent
78	4	18	incongruent
79	4	19	congruent
80	4	20	incongruent
